lowerUserName,createdDate,active
leonardharris,2013-11-12,1
nan,2012-02-11,1
peter_hc,2012-08-18,1
nerd-mike,2013-08-01,1
jaygallagher,2011-02-10,1
sara-kai,2015-04-01,1
servilio,2012-02-13,1
vharoone,2014-10-20,1
lbell33,2013-08-01,1
mfolliott,2013-08-01,1
tomislavsvoboda,2011-11-23,1
lizmurray28,2013-03-22,1
oscar_user,2013-08-01,1
rjonasz,2012-01-18,1
tatianagold,2013-08-01,1
dwarrenoscar,2012-05-22,1
ygmgbg,2011-04-10,1
seallen,2011-06-07,1
dkhhui,2013-05-06,1
hexbinary,2012-01-27,1
annie_zhou91,2012-08-15,1
jessica_quatro,2013-08-01,1
johnnycanuck13,2011-01-21,1
ichan,2014-04-15,1
tedleung,2012-01-13,1
soonlem,2013-08-01,1
pamelavlasic,2013-03-22,1
xzithlan,2011-02-12,1
mbeldman,2013-08-01,1
aj_espina,2013-08-01,1
irene_quatro,2013-08-01,1
trimaracorp,2013-03-12,1
rkamo,2013-08-01,1
pespina_quatro,2013-08-01,1
gordhutchinson,2012-08-25,1
cespina,2013-08-01,1
julie_quatro,2013-08-01,1
r-rusk,2014-02-12,1
m_stimson,2013-08-01,1
tonywzt1,2013-08-01,1
shamiasli,2013-08-01,1
ngoupinets,2013-01-15,1
muhr,2013-08-01,1
owenscm,2014-05-21,1
paul02,2012-12-05,1
aarontoth,2013-03-26,1
hagir,2013-01-12,1
adamczy,2012-08-01,1
katetang,2013-09-30,1
anitakat,2013-08-01,1
sunibek,2013-11-06,1
dgrant,2012-07-18,1
pattirk,2012-07-12,1
mbarberdalmolin,2014-06-27,1
cronnie,2012-01-17,1
bs1kai,2016-05-31,1
jarrettchisholm,2013-08-01,1
jcoward,2013-05-30,1
justinpitters,2012-07-23,1
roshahn,2012-07-09,1
kchan4,2013-04-11,1
mspitty,2012-08-15,1
k--b,2015-04-27,1
alexhughes1316,2013-08-01,1
mahtabdavari,2012-05-22,1
peverett3303,2013-08-01,1
robstevens01,2012-10-02,1
raphenya,2013-08-01,1
earlwer,2013-03-29,1
gjbbo,2012-01-05,1
gordon-mccague,2013-08-01,1
stevenbergman,2013-08-01,1
plynet,2013-11-01,1
patricedrolet,2012-01-17,1
conanmorris,2013-08-01,1
aguff6,2012-05-12,1
fwkroon,2013-08-01,1
tobybian,2012-04-18,1
kandaio,2013-08-01,1
tanoscar,2012-05-16,1
mdavidlawson,2012-07-12,1
shazibzaffar,2012-07-26,1
bhajjar,2014-01-22,1
tannerw,2015-05-28,1
jujaga,2013-05-13,1
jguidare,2013-08-01,1
aubier,2014-04-09,1
ianpun,2013-01-12,1
johngmr,2013-08-01,1
dwsin,2014-03-25,1
anubha26,2012-06-22,1
s-bergman,2013-05-02,1
sarakai,2013-08-01,1
davidgdaley,2012-03-20,1
vanherk,2012-07-25,1
alek1,2013-03-11,1
bvand086,2012-11-28,1
ggargarella,2013-08-01,1
mgiovanniello,2013-05-14,1
sigma7,2012-04-17,1
cloudpractice,2014-08-14,1
jcozzitorto,2013-08-01,1
markcallen,2013-04-26,1
rolliet,2014-09-29,1
medbase,2014-01-24,1
fmason,2012-02-07,1
kchung-magenta,2014-02-25,1
gdernis,2013-06-19,1
jkesselman,2013-08-01,1
acwnei,2012-07-18,1
duncanpoole,2013-04-22,1
crazynammer,2013-11-06,1
jimw111,2013-09-25,1
evagolen,2012-11-26,1
mbelaid,2012-07-24,1
prylyngo,2013-11-11,1
vkoloupaev,2013-11-13,1
skymaster-00,2014-02-17,1
kathleenv,2014-03-24,1
dawesc,2013-01-17,1
phongvu,2014-03-24,1
kenling,2014-04-01,1
neuralengine,2014-03-28,1
dainetri,2014-05-15,1
ashleygkai,2016-05-18,1
oscar-service,2015-12-01,1
shehzadmerchant,2014-07-21,1
yogathiru,2014-07-23,1
phamtan,2013-08-01,1
psalvato,2015-05-27,1
hqicsupport,2015-07-10,1
mbhargava,2013-11-02,1
duncanrozario,2015-04-19,1
indivica,2013-09-18,1
rj1234,2015-03-02,1
patrick-choj,2015-06-23,1
sergertrottier,2015-06-05,1
contourchris,2015-06-12,1
shindasingh,2012-09-13,1
jrendell,2016-01-20,1
sdiemert,2013-05-09,1
raymondrusk,2016-01-12,1
jasonbakerieee,2016-03-11,1
jordan-nicholas,2016-02-25,1
smhasan11,2016-07-11,1
kanwarpreet,2016-08-10,1
dantrob,2013-05-03,1
icandol,2016-08-05,1
ssweeney,2016-03-08,1
mel7139,2016-05-25,1
nadiator,2013-08-01,1
skarnis,2014-04-15,1
aartdevries,2013-08-01,1
winklef,2013-08-01,1
mcglen,2013-04-17,1
justin-fyfe1,2013-08-01,1
derekakers,2012-09-19,1
phillipstack,2013-02-01,1
profjj,2013-04-17,1
ianpert,2013-07-11,1
yinning720,2013-08-01,1
kamfarhood,2013-08-19,1
fwinkle,2014-12-29,1
awkahan,2014-11-21,1
fmishreky,2015-04-07,1
robertoconnor,2012-10-05,1
baubie,2015-12-10,1
brandonaubie,2012-04-13,1
ben-infomedic,2015-12-08,1
pamela,2014-06-23,1
greyrabbit,2015-12-01,1
nwtn,2013-04-26,1
xrajkumari,2013-08-01,1
